id,title,authors,publisher,published_date,description,reading_modes,page_count,categories,language,is_ebook,epub_is_available,pdf_is_available,maturity_rating,public_domain,image_links,preview_link
03WquAAACAAJ,Jane Eyre,Charlotte Brontë,,2010,"Bronte's infamous Gothic novel tells the story of orphan Jane, a child of unfortunate circumstances. Raised and treated badly by her aunt and cousins and eventually sent away to a cruel boarding school, it is not until Jane becomes a governess at Thornfield that she finds happiness. Meek, measured, but determined, Jane soon falls in love with her brooding and stormy master, Mr Rochester, but it is not long before strange and unnerving events occur in the house and Jane is forced to leave Thornfield to pursue her future.",,462.0,['Romance'],en,False,False,False,NOT_MATURE,False,http://books.google.com/books/content?id=03WquAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com.br/books?id=03WquAAACAAJ&dq=subject:romance&hl=&cd=1&source=gbs_api
MbbkFOnP7OkC,A Holiday of Love,"Jude Deveraux, Arnette Lamb, Jill Barnett, Judith McNaught",Simon and Schuster,2005-10-25,"In New York City in the late 1800s, a beautiful but clumsy angel turns a lonely man's life around.... In medieval Scotland, the intrigues of a Christmas Mass imperil two Highland lovers....In Regency London, a world-weary lord receives an outrageous proposal....And in modern-day Colorado, a clever twelve-year-old plays matchmaker for his bighearted but impractical mother.",,386.0,['Fiction'],en,False,False,False,NOT_MATURE,False,http://books.google.com/books/content?id=MbbkFOnP7OkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com.br/books?id=MbbkFOnP7OkC&printsec=frontcover&dq=subject:romance&hl=&cd=2&source=gbs_api
LUVbAAAAMAAJ,Sunset in St. Tropez,Danielle Steel,,2002,"Taking a vacation together to grieve over the death of one of their group, five friends are dismayed by the ramshackle mansion they find instead of the garden villa they expected, and the unexpected appearance of the new girlfriend of the widowed husband.",,248.0,['Fiction'],en,False,False,False,NOT_MATURE,False,http://books.google.com/books/content?id=LUVbAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com.br/books?id=LUVbAAAAMAAJ&dq=subject:romance&hl=&cd=3&source=gbs_api
30RbAAAAMAAJ,Special Delivery,Danielle Steel,,1997,"Tells the story of Jack Watson, a wealthy Beverly Hills businessman and widower, who falls in love with his daughter-in-law's mother and together they discover a relationship marked by challenges and surprises.",,232.0,['Fiction'],en,False,False,False,NOT_MATURE,False,http://books.google.com/books/content?id=30RbAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com.br/books?id=30RbAAAAMAAJ&dq=subject:romance&hl=&cd=4&source=gbs_api
w4b-I_NSgXYC,Love Only Once,Johanna Lindsey,,1985,"The exquisite niece of Lord Edward and Lady Charlotte Malory, Regina Ashton is outraged over her abduction by the arrogant, devilishly handsome Nicholas Eden, and is determined to make the rogue pay, with his heart.",,452.0,['England'],en,False,False,False,NOT_MATURE,False,http://books.google.com/books/content?id=w4b-I_NSgXYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com.br/books?id=w4b-I_NSgXYC&dq=subject:romance&hl=&cd=5&source=gbs_api
uycf7ReHlYYC,Last Voyage of the Valentina,Santa Montefiore,Simon and Schuster,2006-05-23,"""Originally published in Great Britain in 2005 by Hodder and Stoughton""--T.p. verso.",,417.0,['Fiction'],en,False,False,False,NOT_MATURE,False,http://books.google.com/books/content?id=uycf7ReHlYYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com.br/books?id=uycf7ReHlYYC&printsec=frontcover&dq=subject:romance&hl=&cd=6&source=gbs_api
9vVlAAAAMAAJ,Toxic Bachelors,Danielle Steel,"Random House Digital, Inc.",2005,"Three daunting bachelors embark on a journey to the Mediterranean where they face women who challenge their deepest relationship phobias, sparking big changes in the once-carefree trio that just might put an end to their carousing days.",,344.0,['Fiction'],en,False,False,False,NOT_MATURE,False,http://books.google.com/books/content?id=9vVlAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com.br/books?id=9vVlAAAAMAAJ&dq=subject:romance&hl=&cd=7&source=gbs_api
QES7mCcS4EwC,Above and Beyond,Sandra Brown,Mira Books,1986,Trevor's love for Kyla--the widow of his best friend--is complicated by a secret that threatens to destroy their fragile relationship,,297.0,['Fiction'],en,False,False,False,NOT_MATURE,False,http://books.google.com/books/content?id=QES7mCcS4EwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com.br/books?id=QES7mCcS4EwC&dq=subject:romance&hl=&cd=8&source=gbs_api
EvqJCGeqKhsC,Pride and Prejudice,Jane Austen,"Oxford University Press, USA",1980,The text of Pride and Prejudice is the 1813 first edition text.,,388.0,['Fiction'],en,False,False,False,NOT_MATURE,False,http://books.google.com/books/content?id=EvqJCGeqKhsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com.br/books?id=EvqJCGeqKhsC&dq=subject:romance&hl=&cd=9&source=gbs_api
SxPUCwAAQBAJ,Me Before You (Movie Tie-In),Jojo Moyes,Penguin Books,2016-04-26,"Taking a job as an assistant to extreme sports enthusiast Will, who is wheelchair bound after a motorcycle accident, Louisa struggles with her employer's acerbic moods and learns of his shocking plans before demonstrating to him that life is still worth living.",,402.0,['Fiction'],en,False,False,True,NOT_MATURE,False,http://books.google.com/books/content?id=SxPUCwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com.br/books?id=SxPUCwAAQBAJ&dq=subject:romance&hl=&cd=10&source=gbs_api
